red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
MICHAEL TRIZANO,LUCAS ALMEIDA,2022-06-04,19 19 19,19 19 19
DAMON JACKSON,DAN ARGUETA,2022-06-04,29 30 30,28 27 27
RINAT FAKHRETDINOV,ANDREAS MICHAILIDIS,2022-06-04,30 30 30,27 26 26
ERIN BLANCHFIELD,JJ ALDRICH,2022-06-04,9 9 6,10 10 10
JEFF MOLINA,ZHALGAS ZHUMAGULOV,2022-06-04,28 29 30,29 28 27
JOHNNY MUNOZ,TONY GRAVELY,2022-06-04,- - -,- - -
ODE OSBOURNE,ZARRUKH ADASHEV,2022-06-04,- - -,- - -
ALONZO MENIFIELD,ASKAR MOZHAROV,2022-06-04,- - -,- - -
JULIAN EROSA,CHARLES JOURDAIN,2021-09-04,19 19 19,19 19 19
JACK SHORE,LIUDVIK SHOLINIAN,2021-09-04,30 30 30,27 27 27
TOM ASPINALL,SERGHEI SPIVAC,2021-09-04,- - -,- - -
DEREK BRUNSON,DARREN TILL,2021-09-04,20 20 20,18 18 18
PADDY PIMBLETT,LUIGI VENDRAMINI,2021-09-04,- - -,- - -
MOLLY MCCANN,JI YEON KIM,2021-09-04,29 29 29,28 28 28
MODESTAS BUKAUSKAS,KHALIL ROUNTREE JR.,2021-09-04,9 9 9,10 10 10
DALCHA LUNGIAMBULA,MARC-ANDRE BARRIAULT,2021-09-04,28 28 27,29 29 30
ALEX MORONO,DAVID ZAWADA,2021-09-04,30 30 30,27 27 27
GERMAINE DE RANDAMIE,JULIANNA PENA,2020-10-04,19 19 19,19 19 19
KYLER PHILLIPS,CAMERON ELSE,2020-10-04,10 10 10,9 9 9
LUIGI VENDRAMINI,JESSIN AYARI,2020-10-04,- - -,- - -
CASEY KENNEY,ALATENGHEILI,2020-10-04,30 30 30,25 27 26
LOMA LOOKBOONMEE,JINH YU FREY,2020-10-04,30 30 29,27 27 28
DEQUAN TOWNSEND,DUSKO TODOROVIC,2020-10-04,9 9 9,10 10 10
CARLOS CONDIT,COURT MCGEE,2020-10-04,30 30 30,27 27 27
JORDAN WILLIAMS,NASSOURDINE IMAVOV,2020-10-04,27 28 27,29 29 29
YORGAN DE CASTRO,CARLOS FELIPE,2020-10-04,27 28 27,30 29 30
HOLLY HOLM,IRENE ALDANA,2020-10-04,50 50 50,44 45 45
CHARLES JOURDAIN,JOSH CULIBAO,2020-10-04,28 28 30,28 29 27
ELVES BRENER,KAYNAN KRUSCHEWSKY,2023-11-04,- - -,- - -
CAIO BORRALHO,ABUS MAGOMEDOV,2023-11-04,29 29 30,28 28 27
KAUE FERNANDES,MARC DIAKIESE,2023-11-04,28 27 29,29 30 28
RINAT FAKHRETDINOV,ELIZEU ZALESKI DOS SANTOS,2023-11-04,28 28 28,29 28 28
VITOR PETRINO,MODESTAS BUKAUSKAS,2023-11-04,10 10 10,9 9 9
RODRIGO NASCIMENTO,DON'TALE MAYES,2023-11-04,30 29 29,27 28 28
GABRIEL BONFIM,NICOLAS DALBY,2023-11-04,10 10 10,8 9 9
JAILTON ALMEIDA,DERRICK LEWIS,2023-11-04,50 50 50,44 44 45
EDUARDA MOURA,MONTSERRAT CONEJO RUIZ,2023-11-04,10 10 10,8 8 9
ANGELA HILL,DENISE GOMES,2023-11-04,30 29 29,27 28 28
BRYAN BARBERENA,DARIAN WEEKS,2021-12-04,29 29 29,28 28 28
MANEL KAPE,ZHALGAS ZHUMAGULOV,2021-12-04,- - -,- - -
CHEYANNE VLISMAS,MALLORY MARTIN,2021-12-04,29 29 30,28 28 27
ALONZO MENIFIELD,WILLIAM KNIGHT,2021-12-04,28 28 28,29 29 29
ROB FONT,JOSE ALDO,2021-12-04,45 46 45,50 49 50
MAKI PITOLO,DUSKO TODOROVIC,2021-12-04,- - -,- - -
ALEX MORONO,MICKEY GALL,2021-12-04,30 30 30,27 27 27
CLAY GUIDA,LEONARDO SANTOS,2021-12-04,9 9 9,10 10 10
BRENDAN ALLEN,CHRIS CURTIS,2021-12-04,9 9 9,10 10 10
BRAD RIDDELL,RAFAEL FIZIEV,2021-12-04,18 18 18,20 20 20
JIMMY CRUTE,JAMAHAL HILL,2021-12-04,- - -,- - -
LOUIS SMOLKA,VINCE MORALES,2021-12-04,- - -,- - -
CLAUDIO PUELLES,CHRIS GRUETZEMACHER,2021-12-04,20 20 20,18 18 18
KEVIN HOLLAND,ALEX OLIVEIRA,2022-03-05,9 9 9,10 10 10
NICOLAE NEGUMEREANU,KENNEDY NZECHUKWU,2022-03-05,29 29 27,27 27 29
DEVONTE SMITH,LUDOVIT KLEIN,2022-03-05,29 28 27,28 29 30
TIM ELLIOTT,TAGIR ULANBEKOV,2022-03-05,29 29 29,28 28 28
COLBY COVINGTON,JORGE MASVIDAL,2022-03-05,49 50 50,46 44 45
MARINA RODRIGUEZ,YAN XIAONAN,2022-03-05,29 28 29,28 29 28
EDSON BARBOZA,BRYCE MITCHELL,2022-03-05,25 26 27,30 30 30
RAFAEL DOS ANJOS,RENATO MOICANO,2022-03-05,49 50 49,44 44 45
SERGHEI SPIVAC,GREG HARDY,2022-03-05,- - -,- - -
DUSTIN JACOBY,MICHAL OLEKSIEJCZUK,2022-03-05,29 29 29,28 28 28
BRIAN KELLEHER,UMAR NURMAGOMEDOV,2022-03-05,- - -,- - -
MARYNA MOROZ,MARIYA AGAPOVA,2022-03-05,10 10 10,9 9 9
JALIN TURNER,JAMIE MULLARKEY,2022-03-05,10 10 10,9 9 9
DAN ARGUETA,JEAN MATSUMOTO,2024-04-05,10 10 10,9 9 9
FRANCISCO TRINALDO,MUSLIM SALIKHOV,2021-06-05,27 27 27,30 30 30
TANNER BOSER,ILIR LATIFI,2021-06-05,28 28 29,29 29 27
DUSKO TODOROVIC,GREGORY RODRIGUES,2021-06-05,28 27 27,29 30 30
