red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
TAI TUIVASA,JAIRZINHO ROZENSTRUIK,2024-08-18,30 28 27,27 29 30
DRICUS DU PLESSIS,ISRAEL ADESANYA,2024-08-18,28 29 29,29 28 28
KAI KARA-FRANCE,STEVE ERCEG,2024-08-18,- - -,- - -
STEWART NICOLL,JESUS AGUILAR,2024-08-18,- - -,- - -
SONG KENAN,RICKY GLENN,2024-08-18,29 30 30,28 26 27
PANNIE KIANZAD,RAQUEL PENNINGTON,2021-09-18,28 28 28,29 29 29
MIKE RODRIGUEZ,TAFON NCHUKWI,2021-09-18,27 27 27,30 30 30
RONGZHU,BRANDON JENKINS,2021-09-18,20 20 20,18 18 17
MONTEL JACKSON,JP BUYS,2021-09-18,30 30 30,27 27 27
JOAQUIN BUCKLEY,ANTONIO ARROYO,2021-09-18,18 19 19,20 19 19
NATE MANESS,TONY GRAVELY,2021-09-18,9 9 9,10 10 10
ARIANE DA SILVA,MANDY BOHM,2021-09-18,30 30 30,27 27 27
ARMAN TSARUKYAN,CHRISTOS GIAGOS,2021-09-18,- - -,- - -
ANTHONY SMITH,RYAN SPANN,2021-09-18,- - -,- - -
GUSTAVO LOPEZ,ALATENG HEILI,2021-09-18,28 28 28,28 28 28
EMILY WHITMIRE,HANNAH GOLDY,2021-09-18,- - -,- - -
ION CUTELABA,DEVIN CLARK,2021-09-18,29 29 30,26 27 26
IMPA KASANGANAY,CARLSTON HARRIS,2021-09-18,- - -,- - -
ERIN BLANCHFIELD,SARAH ALPAR,2021-09-18,30 30 30,25 25 26
KATLYN CERMINARA,JESSICA ANDRADE,2020-10-18,- - -,- - -
BRIAN ORTEGA,CHAN SUNG JUNG,2020-10-18,50 50 50,45 45 45
CLAUDIO SILVA,JAMES KRAUSE,2020-10-18,27 27 27,30 30 30
GADZHIMURAD ANTIGULOV,MAXIM GRISHIN,2020-10-18,9 9 9,10 10 10
JAMIE MULLARKEY,FARES ZIAM,2020-10-18,28 28 28,29 29 29
JIMMY CRUTE,MODESTAS BUKAUSKAS,2020-10-18,- - -,- - -
SAID NURMAGOMEDOV,MARK STRIEGL,2020-10-18,- - -,- - -
THOMAS ALMEIDA,JONATHAN MARTINEZ,2020-10-18,27 27 27,30 30 30
MATEUSZ GAMROT,GURAM KUTATELADZE,2020-10-18,29 28 28,28 29 29
JUNYONG PARK,JOHN PHILLIPS,2020-10-18,30 30 30,25 25 25
GILLIAN ROBERTSON,POLIANA BOTELHO,2020-10-18,29 29 29,27 27 28
PAYTON TALBOTT,NICK AGUIRRE,2023-11-18,19 19 19,19 19 19
CHASE HOOPER,JORDAN LEAVITT,2023-11-18,- - -,- - -
BRENDAN ALLEN,PAUL CRAIG,2023-11-18,20 20 20,18 17 17
MICHAEL MORALES,JAKE MATTHEWS,2023-11-18,29 29 30,28 28 27
CHARLES JOHNSON,RAFAEL ESTEVAM,2023-11-18,28 28 28,29 29 29
LUANA PINHEIRO,AMANDA RIBAS,2023-11-18,19 19 19,19 19 19
UROS MEDIC,MYKTYBEK OROLBAI,2023-11-18,9 10 9,10 9 10
TREY OGDEN,NIKOLAS MOTTA,2023-11-18,20 19 20,18 19 18
JEKA SARAGIH,LUCAS ALEXANDER,2023-11-18,- - -,- - -
LUCIE PUDILOVA,AILIN PEREZ,2023-11-18,27 28 28,29 29 29
CHAD ANHELIGER,JOSE JOHNSON,2023-11-18,18 18 18,20 20 20
JONATHAN PEARCE,JOANDERSON BRITO,2023-11-18,10 9 9,9 10 10
CHRISTIAN LEROY DUNCAN,DENIS TIULIULIN,2023-11-18,10 10 10,9 9 9
MICK PARKIN,CAIO MACHADO,2023-11-18,29 29 29,28 28 28
CHARLES JOURDAIN,ANDRE EWELL,2021-12-18,30 30 29,27 26 27
DERRICK LEWIS,CHRIS DAUKAUS,2021-12-18,- - -,- - -
SIJARA EUBANKS,MELISSA GATTO,2021-12-18,19 19 19,19 19 19
STEPHEN THOMPSON,BELAL MUHAMMAD,2021-12-18,25 26 26,30 30 30
RAPHAEL ASSUNCAO,RICKY SIMON,2021-12-18,9 9 9,10 10 10
AMANDA LEMOS,ANGELA HILL,2021-12-18,28 30 29,29 27 28
DUSTIN STOLTZFUS,GERALD MEERSCHAERT,2021-12-18,19 19 20,19 19 18
JORDAN LEAVITT,MATT SAYLES,2021-12-18,10 10 10,9 9 9
JUSTIN TAFA,HARRY HUNSUCKER,2021-12-18,- - -,- - -
DON'TALE MAYES,JOSH PARISIAN,2021-12-18,20 20 20,18 18 18
CUB SWANSON,DARREN ELKINS,2021-12-18,- - -,- - -
DIEGO FERREIRA,MATEUSZ GAMROT,2021-12-18,9 9 9,10 10 10
RAQUEL PENNINGTON,MACY CHIASSON,2021-12-18,9 10 10,10 9 9
ARNOLD ALLEN,DAN HOOKER,2022-03-19,- - -,- - -
ALEXANDER VOLKOV,TOM ASPINALL,2022-03-19,- - -,- - -
MOLLY MCCANN,LUANA CAROLINA,2022-03-19,20 20 20,18 18 17
GUNNAR NELSON,TAKASHI SATO,2022-03-19,30 30 30,26 26 26
JAI HERBERT,ILIA TOPURIA,2022-03-19,10 10 10,9 9 9
MUHAMMAD MOKAEV,CODY DURDEN,2022-03-19,- - -,- - -
CORY MCKENNA,ELISE REED,2022-03-19,30 28 28,27 29 29
EDSON BARBOZA,LUANA CAROLINA,2022-03-19,20 20 20,18 18 17
PADDY PIMBLETT,KAZULA VARGAS,2022-03-19,- - -,- - -
SHAMIL ABDURAKHIMOV,SERGEI PAVLOVICH,2022-03-19,- - -,- - -
JACK SHORE,TIMUR VALIEV,2022-03-19,29 29 29,28 28 27
MIKE GRUNDY,MAKWAN AMIRKHANI,2022-03-19,- - -,- - -
NIKITA KRYLOV,PAUL CRAIG,2022-03-19,- - -,- - -
WELLINGTON TURMAN,BRUNO SILVA,2021-06-19,- - -,- - -
MATT BROWN,DHIEGO LIMA,2021-06-19,9 9 9,10 10 10
CASEY O'NEILL,LARA PROCOPIO,2021-06-19,19 19 19,19 19 19
JOAQUIM SILVA,RICKY GLENN,2021-06-19,- - -,- - -
JULIAN EROSA,SEUNGWOO CHOI,2021-06-19,- - -,- - -
JOSH PARISIAN,ROQUE MARTINEZ,2021-06-19,29 29 28,28 28 29
KHAOS WILLIAMS,MATTHEW SEMELSBERGER,2021-06-19,30 29 29,27 28 28
MARLON VERA,DAVEY GRANT,2021-06-19,29 30 29,28 26 27
ALEKSA CAMUR,NICOLAE NEGUMEREANU,2021-06-19,28 29 28,29 28 29
CHAN SUNG JUNG,DAN IGE,2021-06-19,48 49 49,47 46 46
ALEKSEI OLEINIK,SERGHEI SPIVAC,2021-06-19,28 28 28,29 29 29
KANAKO MURATA,VIRNA JANDIROBA,2021-06-19,19 18 18,19 20 20
ZHANG WEILI,AMANDA LEMOS,2023-08-19,50 49 50,43 45 44
KURT HOLOBAUGH,AUSTIN HUBBARD,2023-08-19,9 9 9,10 10 10
BRAD KATONA,CODY GIBSON,2023-08-19,29 30 29,28 27 28
NEIL MAGNY,IAN MACHADO GARRY,2023-08-19,26 26 24,30 30 30
ANDREA LEE,NATALIA SILVA,2023-08-19,27 27 27,30 30 30
MARLON VERA,PEDRO MUNHOZ,2023-08-19,30 30 29,27 27 28
DA'MON BLACKSHEAR,MARIO BAUTISTA,2023-08-19,28 28 27,29 29 30
ANDRE PETROSKI,GERALD MEERSCHAERT,2023-08-19,28 29 29,29 28 28
ALJAMAIN STERLING,SEAN O'MALLEY,2023-08-19,10 10 10,9 9 9
KARINE SILVA,MARYNA MOROZ,2023-08-19,- - -,- - -
CHRIS WEIDMAN,BRAD TAVARES,2023-08-19,27 27 27,30 30 30
GREGORY RODRIGUES,DENIS TIULIULIN,2023-08-19,- - -,- - -
ANDRE EWELL,IRWIN RIVERA,2020-09-19,28 29 29,29 28 28
COLBY COVINGTON,TYRON WOODLEY,2020-09-19,40 40 40,35 35 35
DONALD CERRONE,NIKO PRICE,2020-09-19,28 28 29,28 28 27
TYSON NAM,JEROME RIVERA,2020-09-19,9 9 9,10 10 10
DARRICK MINNER,TJ LARAMIE,2020-09-19,- - -,- - -
JOURNEY NEWSON,RANDY COSTA,2020-09-19,- - -,- - -
MIRSAD BEKTIC,DAMON JACKSON,2020-09-19,20 20 20,18 18 18
JORDAN ESPINOSA,DAVID DVORAK,2020-09-19,27 27 27,30 30 30
MAYRA BUENO SILVA,MARA ROMERO BORELLA,2020-09-19,- - -,- - -
JESSICA-ROSE CLARK,SARAH ALPAR,2020-09-19,20 20 20,18 17 18
KEVIN HOLLAND,DARREN STEWART,2020-09-19,28 29 29,29 28 28
MACKENZIE DERN,RANDA MARKOS,2020-09-19,- - -,- - -
KHAMZAT CHIMAEV,GERALD MEERSCHAERT,2020-09-19,- - -,- - -
JOHNNY WALKER,RYAN SPANN,2020-09-19,- - -,- - -
CHARLES JOHNSON,SUMUDAERJI,2024-10-19,29 29 29,28 28 28
JAKE HADLEY,CAMERON SMOTHERMAN,2024-10-19,26 27 27,30 29 29
MELISSA MARTINEZ,ALICE ARDELEAN,2024-10-19,30 30 30,27 27 27
JESSICA PENNE,ELISE REED,2024-10-19,28 28 28,29 29 29
AUSTEN LANE,ROBELIS DESPAIGNE,2024-10-19,29 29 29,28 28 28
JOSELYNE EDWARDS,TAMIRES VIDAL,2024-10-19,20 20 20,18 18 18
ROB FONT,KYLER PHILLIPS,2024-10-19,29 29 29,28 28 28
ANTHONY HERNANDEZ,MICHEL PEREIRA,2024-10-19,40 39 40,35 34 35
BRAD KATONA,JEAN MATSUMOTO,2024-10-19,28 28 28,29 29 29
DARREN ELKINS,DANIEL PINEDA,2024-10-19,29 29 29,28 28 28
MATHEUS NICOLAU,ASU ALMABAYEV,2024-10-19,28 28 28,29 29 29
ANDRE FIALHO,MUSLIM SALIKHOV,2022-11-19,18 18 18,19 19 19
JACK DELLA MADDALENA,DANNY ROBERTS,2022-11-19,- - -,- - -
JENNIFER MAIA,MARYNA MOROZ,2022-11-19,29 30 29,28 27 28
CHARLES JOHNSON,ZHALGAS ZHUMAGULOV,2022-11-19,29 28 29,28 29 28
KENNEDY NZECHUKWU,ION CUTELABA,2022-11-19,9 9 9,10 10 10
CHASE SHERMAN,WALDO CORTES-ACOSTA,2022-11-19,28 28 27,29 29 30
NATALIA SILVA,TEREZA BLEDA,2022-11-19,19 19 19,19 19 19
BRADY HIESTAND,FERNIE GARCIA,2022-11-19,29 29 29,28 28 28
VINCE MORALES,MILES JOHNS,2022-11-19,28 28 27,29 29 30
RICKY TURCIOS,KEVIN NATIVIDAD,2022-11-19,29 29 28,28 28 29
VANESSA DEMOPOULOS,MARIA OLIVEIRA,2022-11-19,29 29 29,28 28 28
DERON WINN,ANTONIO ARROYO,2020-12-19,29 29 29,28 28 28
SIJARA EUBANKS,PANNIE KIANZAD,2020-12-19,28 28 28,29 29 29
JIMMY FLICK,CODY DURDEN,2020-12-19,- - -,- - -
MARCIN TYBURA,GREG HARDY,2020-12-19,9 9 9,10 10 10
ANTHONY PETTIS,ALEX MORONO,2020-12-19,29 29 29,28 28 28
CHRISTOS GIAGOS,CARLTON MINUS,2020-12-19,29 30 29,28 26 27
JOSE ALDO,MARLON VERA,2020-12-19,29 29 29,28 28 28
STEPHEN THOMPSON,GEOFF NEAL,2020-12-19,50 50 50,45 45 45
MICHEL PEREIRA,KHAOS WILLIAMS,2020-12-19,29 29 29,28 28 28
MARLON MORAES,ROB FONT,2020-12-19,- - -,- - -
GILLIAN ROBERTSON,TAILA SANTOS,2020-12-19,26 26 28,30 30 29
TAFON NCHUKWI,JAMIE PICKETT,2020-12-19,30 30 30,26 25 26
UMAR NURMAGOMEDOV,SERGEY MOROZOV,2021-01-20,9 10 10,10 9 9
VICTORIA LEONARDO,MANON FIOROT,2021-01-20,9 9 8,10 10 10
ROXANNE MODAFFERI,VIVIANE ARAUJO,2021-01-20,27 27 26,30 30 30
IKE VILLANUEVA,VINICIUS MOREIRA,2021-01-20,10 10 9,9 9 10
LERONE MURPHY,DOUGLAS SILVA DE ANDRADE,2021-01-20,29 29 30,28 28 27
MATT SCHNELL,TYSON NAM,2021-01-20,29 28 29,28 29 28
MICHAEL CHIESA,NEIL MAGNY,2021-01-20,49 49 49,46 46 46
OMARI AKHMEDOV,TOM BREESE,2021-01-20,10 10 10,9 9 9
RICKY SIMON,GAETANO PIRRELLO,2021-01-20,10 10 10,9 9 9
WARLLEY ALVES,MOUNIR LAZZEZ,2021-01-20,- - -,- - -
MIKE DAVIS,MASON JONES,2021-01-20,29 29 29,28 28 28
FRANCISCO FIGUEIREDO,JEROME RIVERA,2021-01-20,29 29 29,28 28 28
SUMUDAERJI,ZARRUKH ADASHEV,2021-01-20,29 29 30,28 28 27
DALCHA LUNGIAMBULA,MARKUS PEREZ,2021-01-20,29 29 29,28 28 28
SHANA DOBSON,CASEY O'NEILL,2021-02-20,9 9 9,10 10 10
NATE LANDWEHR,JULIAN EROSA,2021-02-20,- - -,- - -
SERGHEI SPIVAC,JARED VANDERAA,2021-02-20,10 10 10,9 9 9
JARED GORDON,DANNY CHAVEZ,2021-02-20,30 29 30,27 28 27
EDDIE WINELAND,JOHN CASTANEDA,2021-02-20,- - -,- - -
ANDREI ARLOVSKI,TOM ASPINALL,2021-02-20,9 9 9,10 10 10
AIEMANN ZAHABI,DRAKO RODRIGUEZ,2021-02-20,- - -,- - -
CHAS SKELLY,JAMALL EMMERS,2021-02-20,- - -,- - -
PHIL HAWES,NASSOURDINE IMAVOV,2021-02-20,29 29 28,28 28 28
CURTIS BLAYDES,DERRICK LEWIS,2021-02-20,10 10 10,9 9 9
KETLEN VIEIRA,YANA SANTOS,2021-02-20,28 28 28,29 29 29
ALEKSEI OLEINIK,CHRIS DAUKAUS,2021-02-20,- - -,- - -
CHARLES ROSA,DARRICK MINNER,2021-02-20,26 27 27,30 29 30
SONG KENAN,MAX GRIFFIN,2021-03-20,- - -,- - -
CHEYANNE VLISMAS,MONTSERRAT CONEJO RUIZ,2021-03-20,28 27 28,29 29 29
TAI TUIVASA,HARRY HUNSUCKER,2021-03-20,- - -,- - -
ADRIAN YANEZ,GUSTAVO LOPEZ,2021-03-20,20 20 20,18 18 18
BRUNO SILVA,JP BUYS,2021-03-20,10 10 10,9 9 9
DEREK BRUNSON,KEVIN HOLLAND,2021-03-20,49 49 49,45 46 46
MONTEL JACKSON,JESSE STRADER,2021-03-20,- - -,- - -
TREVIN GILES,ROMAN DOLIDZE,2021-03-20,29 29 29,28 28 28
MARION RENEAU,MACY CHIASSON,2021-03-20,28 28 28,29 29 29
LEONARDO SANTOS,GRANT DAWSON,2021-03-20,19 18 18,19 20 20
TAKASHI SATO,THEMBA GORIMBO,2023-05-20,27 27 27,30 30 30
EMILY DUCOTE,LOOPY GODINEZ,2023-05-20,27 28 28,30 29 29
EDMEN SHAHBAZYAN,ANTHONY HERNANDEZ,2023-05-20,18 18 18,19 19 19
DIEGO FERREIRA,MICHAEL JOHNSON,2023-05-20,9 9 10,10 10 9
ANDRE FIALHO,JOAQUIN BUCKLEY,2023-05-20,10 10 9,9 9 10
MAHESHATE,VIACHESLAV BORSHCHEV,2023-05-20,9 9 9,10 10 10
KAROLINA KOWALKIEWICZ,VANESSA DEMOPOULOS,2023-05-20,30 30 30,27 27 27
MACKENZIE DERN,ANGELA HILL,2023-05-20,49 49 49,44 44 43
NATALIA SILVA,VICTORIA LEONARDO,2023-05-20,- - -,- - -
CHASE HOOPER,NICK FIORE,2023-05-20,30 30 30,27 26 27
ORION COSCE,GILBERT URBINA,2023-05-20,8 8 9,10 10 10
ILIR LATIFI,RODRIGO NASCIMENTO,2023-05-20,28 28 29,29 29 28
MIRANDA MAVERICK,DIONE BARBOSA,2024-07-20,29 30 30,28 27 27
LOIK RADZHABOV,TREY OGDEN,2024-07-20,28 27 28,29 30 29
BRIAN KELLEHER,CODY GIBSON,2024-07-20,- - -,- - -
JEONGYEONG LEE,HYDER AMIL,2024-07-20,- - -,- - -
LUANA CAROLINA,LUCIE PUDILOVA,2024-07-20,29 30 29,28 27 28
CODY DURDEN,BRUNO SILVA,2024-07-20,10 10 10,9 9 9
DOOHO CHOI,BILL ALGEO,2024-07-20,10 9 9,9 10 10
MOHAMMED USMAN,THOMAS PETERSEN,2024-07-20,27 27 27,30 30 30
KURT HOLOBAUGH,KAYNAN KRUSCHEWSKY,2024-07-20,29 29 29,28 28 28
STEVE GARCIA,SEUNGWOO CHOI,2024-07-20,- - -,- - -
AMANDA LEMOS,VIRNA JANDIROBA,2024-07-20,9 9 10,10 10 9
AJ FLETCHER,ANGE LOOSA,2022-08-20,27 28 28,29 29 29
SEAN WOODSON,LUIS SALDANA,2022-08-20,29 28 27,27 28 29
AMIR ALBAZI,FRANCISCO FIGUEIREDO,2022-08-20,- - -,- - -
AORIQILENG,JAY PERRIN,2022-08-20,29 29 29,28 28 28
DANIEL LACERDA,VICTOR ALTAMIRANO,2022-08-20,- - -,- - -
JOSE ALDO,MERAB DVALISHVILI,2022-08-20,28 27 28,29 30 29
PAULO COSTA,LUKE ROCKHOLD,2022-08-20,30 30 30,27 27 27
KAMARU USMAN,LEON EDWARDS,2022-08-20,39 39 39,37 37 37
TYSON PEDRO,HARRY HUNSUCKER,2022-08-20,- - -,- - -
WU YANAN,LUCIE PUDILOVA,2022-08-20,9 9 9,10 10 10
MARCIN TYBURA,ALEXANDR ROMANOV,2022-08-20,29 28 29,28 28 28
LEONARDO SANTOS,JARED GORDON,2022-08-20,27 27 27,30 30 30
JOANNE WOOD,TAILA SANTOS,2021-11-20,- - -,- - -
RANI YAHYA,KYUNG HO KANG,2021-11-20,29 29 29,28 28 28
MICHAEL CHIESA,SEAN BRADY,2021-11-20,28 28 28,29 29 29
KETLEN VIEIRA,MIESHA TATE,2021-11-20,48 48 49,47 47 46
DAVEY GRANT,ADRIAN YANEZ,2021-11-20,28 28 30,29 29 27
LUANA PINHEIRO,SAM HUGHES,2021-11-20,29 30 30,28 27 27
PAT SABATINI,TUCKER LUTZ,2021-11-20,30 30 30,26 27 27
LOMA LOOKBOONMEE,LOOPY GODINEZ,2021-11-20,27 27 27,30 30 30
RAFA GARCIA,NATAN LEVY,2021-11-20,29 29 29,28 28 28
CODY DURDEN,AORIQILENG,2021-11-20,29 29 29,28 28 28
SHAYILAN NUERDANBIEKE,SEAN SORIANO,2021-11-20,29 29 29,28 28 28
JOSIANE NUNES,ZARAH FAIRN,2023-01-21,29 29 29,28 28 28
SAIMON OLIVEIRA,DANIEL MARCOS,2023-01-21,9 9 9,10 10 10
THIAGO MOISES,MELQUIZAEL COSTA,2023-01-21,10 10 10,9 9 9
GABRIEL BONFIM,MOUNIR LAZZEZ,2023-01-21,- - -,- - -
LUAN LACERDA,CODY STAMANN,2023-01-21,28 28 28,29 29 29
SHAMIL ABDURAKHIMOV,JAILTON ALMEIDA,2023-01-21,8 9 8,10 10 10
MAURICIO RUA,IHOR POTIERIA,2023-01-21,- - -,- - -
GREGORY RODRIGUES,BRUNNO FERREIRA,2023-01-21,- - -,- - -
GLOVER TEIXEIRA,JAMAHAL HILL,2023-01-21,44 44 44,50 50 50
PAUL CRAIG,JOHNNY WALKER,2023-01-21,- - -,- - -
LAUREN MURPHY,JESSICA ANDRADE,2023-01-21,25 26 25,30 30 30
GILBERT BURNS,NEIL MAGNY,2023-01-21,- - -,- - -
DEIVESON FIGUEIREDO,BRANDON MORENO,2023-01-21,27 28 28,29 29 29
ISMAEL BONFIM,TERRANCE MCKINNEY,2023-01-21,10 10 10,9 9 9
WARLLEY ALVES,NICOLAS DALBY,2023-01-21,28 29 28,29 28 29
ELISE REED,SAM HUGHES,2022-05-21,18 17 18,20 20 20
SANTIAGO PONZINIBBIO,MICHEL PEREIRA,2022-05-21,28 27 29,29 30 28
OMAR MORALES,UROS MEDIC,2022-05-21,9 10 10,10 9 9
JAILTON ALMEIDA,PARKER PORTER,2022-05-21,- - -,- - -
HOLLY HOLM,KETLEN VIEIRA,2022-05-21,47 47 48,48 48 47
JONATHAN MARTINEZ,VINCE MORALES,2022-05-21,30 30 30,27 27 27
CHASE HOOPER,FELIPE COLARES,2022-05-21,19 20 19,19 18 19
JOSEPH HOLMES,ALEN AMEDOVSKI,2022-05-21,- - -,- - -
ERYK ANDERS,JUNYONG PARK,2022-05-21,29 28 28,28 29 29
CHIDI NJOKUANI,DUSKO TODOROVIC,2022-05-21,- - -,- - -
POLYANA VIANA,TABATHA RICCI,2022-05-21,28 28 28,29 29 29
JARED CANNONIER,KELVIN GASTELUM,2021-08-21,48 48 48,47 47 47
SASHA PALATNIKOV,RAMIZ BRAHIMAJ,2021-08-21,- - -,- - -
BRIAN KELLEHER,DOMINGO PILARTE,2021-08-21,30 30 30,27 27 27
CLAY GUIDA,MARK MADSEN,2021-08-21,28 27 29,29 30 28
PARKER PORTER,CHASE SHERMAN,2021-08-21,30 30 29,27 27 28
BEA MALECKI,JOSIANE NUNES,2021-08-21,- - -,- - -
VINC PICHEL,AUSTIN HUBBARD,2021-08-21,30 30 30,27 27 27
ROOSEVELT ROBERTS,IGNACIO BAHAMONDES,2021-08-21,18 19 18,20 19 20
WILLIAM KNIGHT,FABIO CHERANT,2021-08-21,- - -,- - -
TREVIN JONES,SAIDYOKUB KAKHRAMONOV,2021-08-21,18 18 19,20 20 19
ALEXANDRE PANTOJA,BRANDON ROYVAL,2021-08-21,10 9 10,9 10 9
AUSTIN LINGO,LUIS SALDANA,2021-08-21,29 29 29,28 28 28
ISLAM MAKHACHEV,ALEXANDER VOLKANOVSKI,2023-10-21,- - -,- - -
KAMARU USMAN,KHAMZAT CHIMAEV,2023-10-21,27 28 27,29 28 29
MAGOMED ANKALAEV,JOHNNY WALKER,2023-10-21,- -,- -
MOHAMMAD YAHYA,TREVOR PEEK,2023-10-21,28 27 27,29 30 30
TIM ELLIOTT,MUHAMMAD MOKAEV,2023-10-21,19 20 20,19 18 18
IKRAM ALISKEROV,WARLLEY ALVES,2023-10-21,- -,- -
SAID NURMAGOMEDOV,MUIN GAFUROV,2023-10-21,- - -,- - -
JAVID BASHARAT,VICTOR HENRY,2023-10-21,10 9 10,9 10 9
ABU AZAITAR,SEDRIQUES DUMAS,2023-10-21,28 28 28,29 29 29
VIKTORIIA DUDAKOVA,JINH YU FREY,2023-10-21,29 29 29,28 28 28
SHARA MAGOMEDOV,BRUNO SILVA,2023-10-21,30 30 30,27 27 27
NATHANIEL WOOD,MUHAMMAD NAIMOV,2023-10-21,28 28 28,29 29 29
MIKE BREEDEN,ANSHUL JUBLI,2023-10-21,18 18 18,20 20 20
KYLE DAUKAUS,DUSTIN STOLTZFUS,2020-11-21,30 30 30,27 27 26
LOUIS COSCE,SASHA PALATNIKOV,2020-11-21,18 18 19,20 20 19
VALENTINA SHEVCHENKO,JENNIFER MAIA,2020-11-21,49 49 49,46 46 46
DEIVESON FIGUEIREDO,ALEX PEREZ,2020-11-21,- - -,- - -
KATLYN CERMINARA,CYNTHIA CALVILLO,2020-11-21,30 30 30,27 27 27
MIKE PERRY,TIM MEANS,2020-11-21,28 27 28,29 30 29
MAURICIO RUA,PAUL CRAIG,2020-11-21,9 10 9,10 9 10
BRANDON MORENO,BRANDON ROYVAL,2020-11-21,- - -,- - -
ALAN JOUBAN,JARED GOODEN,2020-11-21,30 30 30,27 27 27
DANIEL RODRIGUEZ,NICOLAS DALBY,2020-11-21,27 28 28,30 29 29
JOAQUIN BUCKLEY,JORDAN WRIGHT,2020-11-21,10 10 10,9 8 9
ANTONINA SHEVCHENKO,ARIANE DA SILVA,2020-11-21,10 10 10,9 9 9
BRANDON MORENO,DEIVESON FIGUEIREDO,2022-01-22,47 47 47,48 48 48
FRANCIS NGANNOU,CIRYL GANE,2022-01-22,48 49 48,47 46 47
SILVANA GOMEZ JUAREZ,VANESSA DEMOPOULOS,2022-01-22,- - -,- - -
RAONI BARCELOS,VICTOR HENRY,2022-01-22,27 27 27,30 30 30
MICHEL PEREIRA,ANDRE FIALHO,2022-01-22,29 29 29,28 28 28
TONY GRAVELY,SAIMON OLIVEIRA,2022-01-22,30 30 30,27 27 27
CODY STAMANN,SAID NURMAGOMEDOV,2022-01-22,- - -,- - -
JACK DELLA MADDALENA,PETE RODRIGUEZ,2022-01-22,- - -,- - -
MICHAEL MORALES,TREVIN GILES,2022-01-22,- - -,- - -
MATT FREVOLA,GENARO VALDEZ,2022-01-22,- - -,- - -
KAY HANSEN,JASMINE JASUDAVICIUS,2022-01-22,27 28 28,30 29 29
RICKY GLENN,CHRISTOS GIAGOS,2023-04-22,- - -,- - -
RANI YAHYA,MONTEL JACKSON,2023-04-22,- - -,- - -
FRANCIS MARSHALL,WILLIAM GOMIS,2023-04-22,28 29 28,29 28 29
SERGEI PAVLOVICH,CURTIS BLAYDES,2023-04-22,- - -,- - -
BRADY HIESTAND,BATGEREL DANAA,2023-04-22,18 17 18,20 20 20
MOHAMMED USMAN,JUNIOR TAFA,2023-04-22,29 29 29,28 28 28
KAROL ROSA,NORMA DUMONT,2023-04-22,28 28 28,29 29 29
BRAD TAVARES,BRUNO SILVA,2023-04-22,- - -,- - -
NINA NUNES,JARED GORDON,2023-04-22,- - -,- - -
JEREMIAH WELLS,MATTHEW SEMELSBERGER,2023-04-22,30 30 28,27 27 29
IASMIN LUCINDO,BROGAN WALKER,2023-04-22,30 30 30,27 27 27
JACK HERMANSSON,EDMEN SHAHBAZYAN,2021-05-22,29 29 29,27 27 27
BEN ROTHWELL,CHRIS BARNETT,2021-05-22,10 10 10,9 9 9
RAFAEL ALVES,DAMIR ISMAGULOV,2021-05-22,28 28 28,29 29 29
ROB FONT,CODY GARBRANDT,2021-05-22,48 50 50,47 45 45
DAVID DVORAK,JUANCAMILO RONDEROS,2021-05-22,- - -,- - -
RICARDO RAMOS,BILL ALGEO,2021-05-22,30 29 30,27 28 27
FELICIA SPENCER,NORMA DUMONT,2021-05-22,27 29 28,30 28 29
JOSH CULIBAO,SHAYILAN NUERDANBIEKE,2021-05-22,29 29 29,28 28 28
YAN XIAONAN,CARLA ESPARZA,2021-05-22,8 9 9,10 10 10
COURT MCGEE,CLAUDIO SILVA,2021-05-22,29 30 30,27 26 26
BRUNO SILVA,VICTOR RODRIGUEZ,2021-05-22,- - -,- - -
JUSTIN TAFA,JARED VANDERAA,2021-05-22,27 28 27,30 29 30
MAGOMED GADZHINYASULOV,BRENDSON RIBEIRO,2024-06-22,29 29 28,28 28 28
XIAO LONG,CHANG HO LEE,2024-06-22,29 28 28,28 29 29
RINAT FAKHRETDINOV,NICOLAS DALBY,2024-06-22,29 29 28,28 28 29
KYUNG HO KANG,MUIN GAFUROV,2024-06-22,27 27 27,30 30 30
SHARA MAGOMEDOV,ANTONIO TROCOLI,2024-06-22,19 20 20,19 18 18
JOHNNY WALKER,VOLKAN OEZDEMIR,2024-06-22,- - -,- - -
MUHAMMAD NAIMOY,FELIPE LIMA,2024-06-22,20 19 18,18 19 20
MODESTAS BUKAUSKAS,JARED GORDON,2024-06-22,29 29 28,28 28 29
EDMEN SHAHBAZYAN,ALEXANDER VOLKOV,2024-06-22,27 28 27,30 29 30
KEVIN HOLLAND,DANIEL RODRIGUEZ,2024-06-22,29 30 30,28 27 27
MANON FIOROT,IKRAM ALISKEROV,2024-06-22,- - -,- - -
SHAUNA BANNON,BRUNA BRASIL,2023-07-22,28 27 28,29 30 29
JAFEL FILHO,DANIEL BAREZ,2023-07-22,- - -,- - -
JAI HERBERT,FARES ZIAM,2023-07-22,28 27 28,29 30 29
PAUL CRAIG,ANDRE MUNIZ,2023-07-22,9 9 9,10 10 10
MOLLY MCCANN,JULIJA STOLIARENKO,2023-07-22,- - -,- - -
