fighter_name,height,weight,reach,stance,date_of_birth,slpm,str_acc,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_def,sub_avg,str_acc_num,takedowns_acc_num,weight_lbs,reach_inches
Mark Eddiva,"5' 8""",145 lbs.,"68""",Orthodox,1986-02-16,3.37,45%,2.98,54%,1.45,22%,63%,0.0,45.0,22.0,145.0,68.0
Johnny Eduardo,"5' 7""",135 lbs.,"71""",Orthodox,1978-08-03,2.89,38%,3.34,63%,0.0,0%,62%,0.5,38.0,0.0,135.0,71.0
Abdul-Kerim Edilov,"6' 2""",205 lbs.,,Orthodox,1991-11-25,10.22,61%,0.13,92%,3.98,100%,0%,2.0,61.0,100.0,205.0,
Frankie Edgar,"5' 6""",135 lbs.,"68""",Orthodox,1981-10-16,3.7,39%,2.71,66%,2.28,31%,65%,0.3,39.0,31.0,135.0,68.0
Adli Edwards,,145 lbs.,,,1989-08-28,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Stephanie Egger,"5' 6""",135 lbs.,"68""",Orthodox,1988-08-12,0.67,31%,1.33,52%,1.0,16%,40%,0.0,31.0,16.0,135.0,68.0
Tom Egan,"5' 11""",170 lbs.,,Orthodox,,0.0,0%,3.91,50%,0.0,0%,28%,0.0,0.0,0.0,170.0,
Joselyne Edwards,"5' 8""",135 lbs.,"70""",Orthodox,1995-09-29,4.2,53%,3.83,46%,0.5,16%,37%,0.5,53.0,16.0,135.0,70.0
Te Edwards,"5' 8""",155 lbs.,"72""",Orthodox,1990-09-11,1.5,41%,4.15,44%,0.72,100%,44%,0.0,41.0,100.0,155.0,72.0
Justin Edwards,"5' 10""",155 lbs.,"70""",Orthodox,1983-01-26,2.68,42%,3.32,51%,2.14,26%,27%,1.0,42.0,26.0,155.0,70.0
Leon Edwards,"6' 2""",170 lbs.,"74""",Southpaw,1991-08-25,2.56,47%,2.03,55%,1.35,30%,70%,0.4,47.0,30.0,170.0,74.0
