red_fighter,blue_fighter,red_kd,blue_kd,red_sig_str,blue_sig_str,red_sig_str_pct,blue_sig_str_pct,red_total_str,blue_total_str,red_td,blue_td,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl,blue_ctrl,red_head,blue_head,red_body,blue_body,red_leg,blue_leg,red_distance,blue_distance,red_clinch,blue_clinch,red_ground,blue_ground,win_by,last_round,last_round_time,format,referee,date,location,fight_type,winner,red_sig_str_landed,red_sig_str_attempted,blue_sig_str_landed,blue_sig_str_attempted,red_sig_str_pct_num,blue_sig_str_pct_num,red_total_str_landed,red_total_str_attempted,blue_total_str_landed,blue_total_str_attempted,red_td_landed,red_td_attempted,blue_td_landed,blue_td_attempted,red_td_pct_num,blue_td_pct_num,red_head_landed,red_head_attempted,blue_head_landed,blue_head_attempted,red_body_landed,red_body_attempted,blue_body_landed,blue_body_attempted,red_leg_landed,red_leg_attempted,blue_leg_landed,blue_leg_attempted,red_distance_landed,red_distance_attempted,blue_distance_landed,blue_distance_attempted,red_clinch_landed,red_clinch_attempted,blue_clinch_landed,blue_clinch_attempted,red_ground_landed,red_ground_attempted,blue_ground_landed,blue_ground_attempted,last_round_time_seconds
Alexander Hernandez,Thiago Moises,0,0,50 of 205,53 of 183,24%,28%,50 of 205,53 of 183,0 of 0,0 of 1,,0%,0,0,0,0,0:00,0:00,15 of 152,36 of 155,18 of 33,5 of 11,17 of 20,12 of 17,50 of 204,53 of 183,0 of 1,0 of 0,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-02-27,"Las Vegas, Nevada, USA",Lightweight Bout,Thiago Moises,50,205,53,183,24.0,28.0,50,205,53,183,0,0,0,1,,0.0,15,152,36,155,18,33,5,11,17,20,12,17,50,204,53,183,0,1,0,0,0,0,0,0,300
Pedro Munhoz,Jimmie Rivera,0,0,94 of 194,65 of 193,48%,33%,94 of 194,65 of 193,0 of 0,1 of 5,,20%,0,0,0,0,0:03,0:04,35 of 115,48 of 168,19 of 27,4 of 8,40 of 52,13 of 17,93 of 193,65 of 193,1 of 1,0 of 0,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2021-02-27,"Las Vegas, Nevada, USA",Bantamweight Bout,Pedro Munhoz,94,194,65,193,48.0,33.0,94,194,65,193,0,0,1,5,,20.0,35,115,48,168,19,27,4,8,40,52,13,17,93,193,65,193,1,1,0,0,0,0,0,0,300
Alex Caceres,Kevin Croom,0,0,48 of 68,16 of 51,70%,31%,97 of 121,26 of 67,1 of 1,1 of 16,100%,6%,1,0,1,1,3:44,7:32,33 of 49,10 of 44,11 of 13,1 of 2,4 of 6,5 of 5,30 of 46,14 of 46,12 of 14,2 of 5,6 of 8,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2021-02-27,"Las Vegas, Nevada, USA",Featherweight Bout,Alex Caceres,48,68,16,51,70.0,31.0,97,121,26,67,1,1,1,16,100.0,6.0,33,49,10,44,11,13,1,2,4,6,5,5,30,46,14,46,12,14,2,5,6,8,0,0,300
Alexis Davis,Sabina Mazo,0,0,49 of 83,64 of 165,59%,38%,128 of 196,71 of 173,3 of 3,0 of 1,100%,0%,0,0,0,0,8:50,0:00,8 of 37,50 of 149,4 of 5,5 of 7,37 of 41,9 of 9,46 of 78,64 of 165,0 of 0,0 of 0,3 of 5,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2021-02-27,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Alexis Davis,49,83,64,165,59.0,38.0,128,196,71,173,3,3,0,1,100.0,0.0,8,37,50,149,4,5,5,7,37,41,9,9,46,78,64,165,0,0,0,0,3,5,0,0,300
Nikita Krylov,Magomed Ankalaev,0,0,47 of 120,43 of 92,39%,46%,58 of 132,89 of 143,1 of 6,3 of 9,16%,33%,0,0,0,0,1:44,5:59,18 of 78,37 of 83,22 of 34,4 of 7,7 of 8,2 of 2,45 of 116,29 of 76,2 of 4,2 of 2,0 of 0,12 of 14,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-02-27,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Magomed Ankalaev,47,120,43,92,39.0,46.0,58,132,89,143,1,6,3,9,16.0,33.0,18,78,37,83,22,34,4,7,7,8,2,2,45,116,29,76,2,4,2,2,0,0,12,14,300
Dustin Jacoby,Maxim Grishin,0,2,57 of 137,66 of 156,41%,42%,60 of 141,80 of 172,0 of 0,0 of 2,,0%,0,0,0,0,0:48,1:16,25 of 88,31 of 110,7 of 15,8 of 16,25 of 34,27 of 30,55 of 133,59 of 144,2 of 4,2 of 5,0 of 0,5 of 7,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2021-02-27,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Dustin Jacoby,57,137,66,156,41.0,42.0,60,141,80,172,0,0,0,2,,0.0,25,88,31,110,7,15,8,16,25,34,27,30,55,133,59,144,2,4,2,5,0,0,5,7,300
Aleksei Oleinik,Chris Daukaus,0,0,5 of 10,34 of 56,50%,60%,6 of 11,34 of 56,0 of 1,0 of 0,0%,,0,0,0,0,0:24,0:19,3 of 8,32 of 54,1 of 1,2 of 2,1 of 1,0 of 0,5 of 10,28 of 49,0 of 0,2 of 3,0 of 0,4 of 4,KO/TKO,1,1:55,3 Rnd (5-5-5),Herb Dean,2021-02-20,"Las Vegas, Nevada, USA",Heavyweight Bout,Chris Daukaus,5,10,34,56,50.0,60.0,6,11,34,56,0,1,0,0,0.0,,3,8,32,54,1,1,2,2,1,1,0,0,5,10,28,49,0,0,2,3,0,0,4,4,115
Charles Rosa,Darrick Minner,0,1,15 of 25,45 of 60,60%,75%,40 of 51,96 of 117,0 of 1,4 of 5,0%,80%,2,3,0,0,0:00,12:34,9 of 17,35 of 49,4 of 4,5 of 5,2 of 4,5 of 6,8 of 17,21 of 31,0 of 0,5 of 7,7 of 8,19 of 22,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-02-20,"Las Vegas, Nevada, USA",Featherweight Bout,Darrick Minner,15,25,45,60,60.0,75.0,40,51,96,117,0,1,4,5,0.0,80.0,9,17,35,49,4,4,5,5,2,4,5,6,8,17,21,31,0,0,5,7,7,8,19,22,300
Phil Hawes,Nassourdine Imavov,0,0,31 of 54,57 of 93,57%,61%,101 of 128,87 of 124,4 of 7,0 of 0,57%,,0,0,0,0,11:06,0:07,13 of 31,39 of 71,7 of 9,14 of 17,11 of 14,4 of 5,23 of 42,29 of 62,7 of 11,27 of 30,1 of 1,1 of 1,Decision - Majority,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2021-02-20,"Las Vegas, Nevada, USA",Middleweight Bout,Phil Hawes,31,54,57,93,57.0,61.0,101,128,87,124,4,7,0,0,57.0,,13,31,39,71,7,9,14,17,11,14,4,5,23,42,29,62,7,11,27,30,1,1,1,1,300
Curtis Blaydes,Derrick Lewis,0,1,28 of 52,7 of 23,53%,30%,28 of 52,7 of 23,0 of 3,0 of 0,0%,,0,0,0,0,0:15,0:00,18 of 42,6 of 21,3 of 3,1 of 2,7 of 7,0 of 0,25 of 47,4 of 20,3 of 5,1 of 1,0 of 0,2 of 2,KO/TKO,2,1:26,5 Rnd (5-5-5-5-5),Herb Dean,2021-02-20,"Las Vegas, Nevada, USA",Heavyweight Bout,Derrick Lewis,28,52,7,23,53.0,30.0,28,52,7,23,0,3,0,0,0.0,,18,42,6,21,3,3,1,2,7,7,0,0,25,47,4,20,3,5,1,1,0,0,2,2,86
Eddie Wineland,John Castaneda,0,1,17 of 66,42 of 57,25%,73%,17 of 66,44 of 59,1 of 1,0 of 0,100%,,0,0,0,0,0:12,0:04,10 of 50,23 of 34,3 of 6,4 of 7,4 of 10,15 of 16,16 of 63,34 of 49,0 of 0,2 of 2,1 of 3,6 of 6,KO/TKO,1,4:44,3 Rnd (5-5-5),Jason Herzog,2021-02-20,"Las Vegas, Nevada, USA",Bantamweight Bout,John Castaneda,17,66,42,57,25.0,73.0,17,66,44,59,1,1,0,0,100.0,,10,50,23,34,3,6,4,7,4,10,15,16,16,63,34,49,0,0,2,2,1,3,6,6,284
Andrei Arlovski,Tom Aspinall,0,0,20 of 55,37 of 60,36%,61%,22 of 57,41 of 64,0 of 0,1 of 1,,100%,0,1,0,0,0:00,2:17,8 of 40,22 of 44,7 of 9,6 of 7,5 of 6,9 of 9,17 of 49,24 of 40,3 of 6,13 of 20,0 of 0,0 of 0,Submission,2,1:09,3 Rnd (5-5-5),Mark Smith,2021-02-20,"Las Vegas, Nevada, USA",Heavyweight Bout,Tom Aspinall,20,55,37,60,36.0,61.0,22,57,41,64,0,0,1,1,,100.0,8,40,22,44,7,9,6,7,5,6,9,9,17,49,24,40,3,6,13,20,0,0,0,0,69
Jared Gordon,Danny Chavez,0,0,82 of 131,39 of 113,62%,34%,138 of 191,42 of 116,2 of 7,1 of 1,28%,100%,0,0,0,0,6:07,0:10,41 of 89,23 of 91,19 of 20,5 of 8,22 of 22,11 of 14,67 of 110,38 of 112,6 of 8,1 of 1,9 of 13,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2021-02-20,"Las Vegas, Nevada, USA",Featherweight Bout,Jared Gordon,82,131,39,113,62.0,34.0,138,191,42,116,2,7,1,1,28.0,100.0,41,89,23,91,19,20,5,8,22,22,11,14,67,110,38,112,6,8,1,1,9,13,0,0,300
Ketlen Vieira,Yana Kunitskaya,0,0,7 of 16,47 of 60,43%,78%,35 of 51,215 of 247,3 of 8,0 of 0,37%,,0,0,0,0,8:38,5:09,3 of 10,7 of 15,3 of 4,30 of 35,1 of 2,10 of 10,3 of 11,8 of 11,4 of 5,21 of 24,0 of 0,18 of 25,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,2021-02-20,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Yana Kunitskaya,7,16,47,60,43.0,78.0,35,51,215,247,3,8,0,0,37.0,,3,10,7,15,3,4,30,35,1,2,10,10,3,11,8,11,4,5,21,24,0,0,18,25,300
Aiemann Zahabi,Drako Rodriguez,1,0,9 of 11,11 of 33,81%,33%,9 of 11,13 of 35,0 of 0,0 of 0,,,0,0,0,0,0:10,0:00,8 of 10,6 of 27,1 of 1,1 of 2,0 of 0,4 of 4,6 of 7,8 of 30,1 of 2,3 of 3,2 of 2,0 of 0,KO/TKO,1,3:05,3 Rnd (5-5-5),Mark Smith,2021-02-20,"Las Vegas, Nevada, USA",Bantamweight Bout,Aiemann Zahabi,9,11,11,33,81.0,33.0,9,11,13,35,0,0,0,0,,,8,10,6,27,1,1,1,2,0,0,4,4,6,7,8,30,1,2,3,3,2,2,0,0,185
Serghei Spivac,Jared Vanderaa,0,0,51 of 72,13 of 24,70%,54%,107 of 135,27 of 38,3 of 3,0 of 0,100%,,0,0,0,0,8:29,0:00,51 of 72,8 of 19,0 of 0,3 of 3,0 of 0,2 of 2,7 of 17,11 of 22,0 of 0,2 of 2,44 of 55,0 of 0,KO/TKO,2,4:32,3 Rnd (5-5-5),Chris Tognoni,2021-02-20,"Las Vegas, Nevada, USA",Heavyweight Bout,Serghei Spivac,51,72,13,24,70.0,54.0,107,135,27,38,3,3,0,0,100.0,,51,72,8,19,0,0,3,3,0,0,2,2,7,17,11,22,0,0,2,2,44,55,0,0,272
Nate Landwehr,Julian Erosa,0,1,9 of 14,15 of 23,64%,65%,9 of 14,17 of 25,0 of 0,0 of 0,,,0,0,0,0,0:00,0:01,5 of 9,11 of 18,1 of 1,2 of 3,3 of 4,2 of 2,6 of 11,12 of 17,3 of 3,2 of 5,0 of 0,1 of 1,KO/TKO,1,0:56,3 Rnd (5-5-5),Mark Smith,2021-02-20,"Las Vegas, Nevada, USA",Featherweight Bout,Julian Erosa,9,14,15,23,64.0,65.0,9,14,17,25,0,0,0,0,,,5,9,11,18,1,1,2,3,3,4,2,2,6,11,12,17,3,3,2,5,0,0,1,1,56
Shana Dobson,Casey O'Neill,0,0,16 of 28,49 of 68,57%,72%,27 of 42,132 of 183,0 of 0,4 of 6,,66%,0,1,1,0,0:13,7:26,9 of 21,44 of 62,5 of 5,3 of 4,2 of 2,2 of 2,11 of 20,17 of 24,3 of 4,1 of 1,2 of 4,31 of 43,KO/TKO,2,3:41,3 Rnd (5-5-5),Chris Tognoni,2021-02-20,"Las Vegas, Nevada, USA",Women's Flyweight Bout,Casey O'Neill,16,28,49,68,57.0,72.0,27,42,132,183,0,0,4,6,,66.0,9,21,44,62,5,5,3,4,2,2,2,2,11,20,17,24,3,4,1,1,2,4,31,43,221
Maycee Barber,Alexa Grasso,0,0,40 of 152,38 of 81,26%,46%,50 of 165,95 of 162,3 of 5,0 of 0,60%,,0,1,0,1,3:14,5:10,23 of 130,24 of 57,14 of 18,9 of 14,3 of 4,5 of 10,18 of 119,25 of 61,20 of 31,13 of 20,2 of 2,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,2021-02-13,"Las Vegas, Nevada, USA",Women's Flyweight Bout,Alexa Grasso,40,152,38,81,26.0,46.0,50,165,95,162,3,5,0,0,60.0,,23,130,24,57,14,18,9,14,3,4,5,10,18,119,25,61,20,31,13,20,2,2,0,0,300
Belal Muhammad,Dhiego Lima,0,0,129 of 264,69 of 203,48%,33%,136 of 284,70 of 206,1 of 10,0 of 1,10%,0%,0,0,0,0,2:42,0:00,109 of 232,26 of 156,20 of 31,17 of 19,0 of 1,26 of 28,118 of 248,69 of 203,11 of 16,0 of 0,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2021-02-13,"Las Vegas, Nevada, USA",Welterweight Bout,Belal Muhammad,129,264,69,203,48.0,33.0,136,284,70,206,1,10,0,1,10.0,0.0,109,232,26,156,20,31,17,19,0,1,26,28,118,248,69,203,11,16,0,0,0,0,0,0,300
Maki Pitolo,Julian Marquez,0,0,32 of 65,41 of 100,49%,41%,70 of 110,61 of 129,5 of 11,0 of 1,45%,0%,1,4,1,1,9:07,1:54,16 of 46,37 of 94,12 of 14,3 of 4,4 of 5,1 of 2,22 of 52,18 of 72,7 of 8,15 of 16,3 of 5,8 of 12,Submission,3,4:17,3 Rnd (5-5-5),Mark Smith,2021-02-13,"Las Vegas, Nevada, USA",Middleweight Bout,Julian Marquez,32,65,41,100,49.0,41.0,70,110,61,129,5,11,0,1,45.0,0.0,16,46,37,94,12,14,3,4,4,5,1,2,22,52,18,72,7,8,15,16,3,5,8,12,257
Kamaru Usman,Gilbert Burns,2,0,83 of 136,45 of 108,61%,41%,93 of 149,55 of 124,0 of 0,0 of 3,,0%,0,0,0,0,2:05,0:00,56 of 105,18 of 75,11 of 15,13 of 14,16 of 16,14 of 19,54 of 100,44 of 104,3 of 4,1 of 4,26 of 32,0 of 0,KO/TKO,3,0:34,5 Rnd (5-5-5-5-5),Herb Dean,2021-02-13,"Las Vegas, Nevada, USA",UFC Welterweight Title Bout,Kamaru Usman,83,136,45,108,61.0,41.0,93,149,55,124,0,0,0,3,,0.0,56,105,18,75,11,15,13,14,16,16,14,19,54,100,44,104,3,4,1,4,26,32,0,0,34
Ricky Simon,Brian Kelleher,0,0,45 of 98,19 of 73,45%,26%,72 of 136,25 of 83,6 of 9,0 of 0,66%,,1,0,0,0,8:14,0:12,25 of 73,7 of 56,3 of 4,4 of 8,17 of 21,8 of 9,29 of 74,18 of 72,6 of 9,1 of 1,10 of 15,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,2021-02-13,"Las Vegas, Nevada, USA",Featherweight Bout,Ricky Simon,45,98,19,73,45.0,26.0,72,136,25,83,6,9,0,0,66.0,,25,73,7,56,3,4,4,8,17,21,8,9,29,74,18,72,6,9,1,1,10,15,0,0,300
Kelvin Gastelum,Ian Heinisch,0,0,38 of 84,27 of 67,45%,40%,51 of 115,56 of 107,6 of 14,1 of 6,42%,16%,0,2,1,1,6:50,1:11,20 of 62,10 of 42,10 of 13,6 of 11,8 of 9,11 of 14,28 of 69,26 of 64,8 of 11,0 of 0,2 of 4,1 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-02-13,"Las Vegas, Nevada, USA",Middleweight Bout,Kelvin Gastelum,38,84,27,67,45.0,40.0,51,115,56,107,6,14,1,6,42.0,16.0,20,62,10,42,10,13,6,11,8,9,11,14,28,69,26,64,8,11,0,0,2,4,1,3,300
Polyana Viana,Mallory Martin,0,0,4 of 16,5 of 7,25%,71%,71 of 89,14 of 19,0 of 0,1 of 1,,100%,5,0,0,0,0:18,2:25,0 of 12,1 of 3,3 of 3,4 of 4,1 of 1,0 of 0,4 of 16,5 of 7,0 of 0,0 of 0,0 of 0,0 of 0,Submission,1,3:18,3 Rnd (5-5-5),Mark Smith,2021-02-13,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Polyana Viana,4,16,5,7,25.0,71.0,71,89,14,19,0,0,1,1,,100.0,0,12,1,3,3,3,4,4,1,1,0,0,4,16,5,7,0,0,0,0,0,0,0,0,198
Rodolfo Vieira,Anthony Hernandez,0,0,9 of 26,32 of 50,34%,64%,14 of 32,50 of 73,4 of 10,0 of 0,40%,,0,2,0,1,4:00,1:25,9 of 26,28 of 45,0 of 0,4 of 5,0 of 0,0 of 0,7 of 21,28 of 46,2 of 2,4 of 4,0 of 3,0 of 0,Submission,2,1:53,3 Rnd (5-5-5),Keith Peterson,2021-02-13,"Las Vegas, Nevada, USA",Middleweight Bout,Anthony Hernandez,9,26,32,50,34.0,64.0,14,32,50,73,4,10,0,0,40.0,,9,26,28,45,0,0,4,5,0,0,0,0,7,21,28,46,2,2,4,4,0,3,0,0,113
Gabe Green,Philip Rowe,2,0,70 of 152,42 of 86,46%,48%,128 of 213,48 of 93,2 of 2,2 of 6,100%,33%,1,0,0,2,3:13,5:43,36 of 112,25 of 67,15 of 20,8 of 10,19 of 20,9 of 9,51 of 126,40 of 84,4 of 7,1 of 1,15 of 19,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-02-13,"Las Vegas, Nevada, USA",Welterweight Bout,Gabe Green,70,152,42,86,46.0,48.0,128,213,48,93,2,2,2,6,100.0,33.0,36,112,25,67,15,20,8,10,19,20,9,9,51,126,40,84,4,7,1,1,15,19,1,1,300
Andre Ewell,Chris Gutierrez,0,1,59 of 120,69 of 126,49%,54%,62 of 124,72 of 131,1 of 1,1 of 1,100%,100%,1,0,0,0,0:09,1:11,15 of 56,23 of 59,28 of 40,14 of 21,16 of 24,32 of 46,59 of 119,61 of 116,0 of 0,8 of 10,0 of 1,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2021-02-13,"Las Vegas, Nevada, USA",Catch Weight Bout,Chris Gutierrez,59,120,69,126,49.0,54.0,62,124,72,131,1,1,1,1,100.0,100.0,15,56,23,59,28,40,14,21,16,24,32,46,59,119,61,116,0,0,8,10,0,1,0,0,300
Alexandre Pantoja,Manel Kape,0,0,74 of 149,49 of 91,49%,53%,77 of 152,51 of 94,0 of 1,2 of 7,0%,28%,0,0,0,0,0:24,0:25,27 of 83,36 of 76,26 of 38,8 of 8,21 of 28,5 of 7,72 of 146,49 of 91,1 of 1,0 of 0,1 of 2,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,2021-02-06,"Las Vegas, Nevada, USA",Flyweight Bout,Alexandre Pantoja,74,149,49,91,49.0,53.0,77,152,51,94,0,1,2,7,0.0,28.0,27,83,36,76,26,38,8,8,21,28,5,7,72,146,49,91,1,1,0,0,1,2,0,0,300
Karol Rosa,Joselyne Edwards,0,0,57 of 84,38 of 59,67%,64%,135 of 175,70 of 97,4 of 6,1 of 3,66%,33%,0,0,0,1,11:13,0:02,33 of 55,22 of 36,9 of 10,4 of 8,15 of 19,12 of 15,27 of 46,31 of 51,11 of 14,3 of 3,19 of 24,4 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-02-06,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Karol Rosa,57,84,38,59,67.0,64.0,135,175,70,97,4,6,1,3,66.0,33.0,33,55,22,36,9,10,4,8,15,19,12,15,27,46,31,51,11,14,3,3,19,24,4,5,300
Devonte Smith,Justin Jaynes,0,0,34 of 65,11 of 27,52%,40%,46 of 78,19 of 35,1 of 1,0 of 2,100%,0%,1,0,0,1,3:08,0:12,25 of 54,6 of 21,5 of 7,3 of 4,4 of 4,2 of 2,21 of 45,10 of 26,5 of 8,0 of 0,8 of 12,1 of 1,TKO - Doctor's Stoppage,2,3:38,3 Rnd (5-5-5),Keith Peterson,2021-02-06,"Las Vegas, Nevada, USA",Catch Weight Bout,Devonte Smith,34,65,11,27,52.0,40.0,46,78,19,35,1,1,0,2,100.0,0.0,25,54,6,21,5,7,3,4,4,4,2,2,21,45,10,26,5,8,0,0,8,12,1,1,218
Michael Johnson,Clay Guida,0,0,58 of 126,49 of 89,46%,55%,70 of 138,65 of 107,0 of 0,3 of 7,,42%,0,1,0,0,3:03,6:53,52 of 113,31 of 71,5 of 12,12 of 12,1 of 1,6 of 6,47 of 115,32 of 72,6 of 6,14 of 14,5 of 5,3 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-02-06,"Las Vegas, Nevada, USA",Lightweight Bout,Clay Guida,58,126,49,89,46.0,55.0,70,138,65,107,0,0,3,7,,42.0,52,113,31,71,5,12,12,12,1,1,6,6,47,115,32,72,6,6,14,14,5,5,3,3,300
Alistair Overeem,Alexander Volkov,0,1,10 of 20,54 of 88,50%,61%,10 of 20,54 of 88,0 of 1,0 of 0,0%,,0,0,0,0,0:15,0:11,3 of 13,47 of 81,2 of 2,3 of 3,5 of 5,4 of 4,10 of 20,40 of 65,0 of 0,11 of 18,0 of 0,3 of 5,KO/TKO,2,2:06,5 Rnd (5-5-5-5-5),Jason Herzog,2021-02-06,"Las Vegas, Nevada, USA",Heavyweight Bout,Alexander Volkov,10,20,54,88,50.0,61.0,10,20,54,88,0,1,0,0,0.0,,3,13,47,81,2,2,3,3,5,5,4,4,10,20,40,65,0,0,11,18,0,0,3,5,126
Diego Ferreira,Beneil Dariush,0,0,54 of 121,62 of 116,44%,53%,74 of 145,74 of 132,0 of 1,5 of 15,0%,33%,0,0,1,0,0:58,7:23,43 of 104,46 of 98,10 of 15,10 of 12,1 of 2,6 of 6,45 of 109,51 of 93,5 of 5,3 of 5,4 of 7,8 of 18,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2021-02-06,"Las Vegas, Nevada, USA",Lightweight Bout,Beneil Dariush,54,121,62,116,44.0,53.0,74,145,74,132,0,1,5,15,0.0,33.0,43,104,46,98,10,15,10,12,1,2,6,6,45,109,51,93,5,5,3,5,4,7,8,18,300
Cory Sandhagen,Frankie Edgar,1,0,2 of 5,2 of 3,40%,66%,2 of 5,2 of 3,0 of 0,0 of 0,,,0,0,0,0,0:00,0:00,1 of 3,1 of 2,0 of 0,0 of 0,1 of 2,1 of 1,2 of 5,2 of 3,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,1,0:28,3 Rnd (5-5-5),Keith Peterson,2021-02-06,"Las Vegas, Nevada, USA",Bantamweight Bout,Cory Sandhagen,2,5,2,3,40.0,66.0,2,5,2,3,0,0,0,0,,,1,3,1,2,0,0,0,0,1,2,1,1,2,5,2,3,0,0,0,0,0,0,0,0,28
Mike Rodriguez,Danilo Marques,0,0,16 of 24,29 of 29,66%,100%,34 of 43,55 of 58,0 of 0,4 of 7,,57%,0,2,0,0,0:04,7:39,3 of 7,27 of 27,5 of 6,2 of 2,8 of 11,0 of 0,11 of 19,2 of 2,5 of 5,0 of 0,0 of 0,27 of 27,Submission,2,4:52,3 Rnd (5-5-5),Jason Herzog,2021-02-06,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Danilo Marques,16,24,29,29,66.0,100.0,34,43,55,58,0,0,4,7,,57.0,3,7,27,27,5,6,2,2,8,11,0,0,11,19,2,2,5,5,0,0,0,0,27,27,292
Ode Osbourne,Jerome Rivera,1,0,5 of 6,2 of 3,83%,66%,5 of 6,2 of 3,0 of 0,0 of 0,,,0,0,0,0,0:02,0:00,5 of 6,0 of 1,0 of 0,1 of 1,0 of 0,1 of 1,1 of 1,2 of 3,0 of 0,0 of 0,4 of 5,0 of 0,KO/TKO,1,0:26,3 Rnd (5-5-5),Chris Tognoni,2021-02-06,"Las Vegas, Nevada, USA",Featherweight Bout,Ode Osbourne,5,6,2,3,83.0,66.0,5,6,2,3,0,0,0,0,,,5,6,0,1,0,0,1,1,0,0,1,1,1,1,2,3,0,0,0,0,4,5,0,0,26
SeungWoo Choi,Youssef Zalal,0,0,41 of 109,23 of 47,37%,48%,73 of 144,46 of 70,2 of 3,3 of 9,66%,33%,0,1,0,1,3:39,4:29,25 of 84,12 of 34,10 of 13,9 of 10,6 of 12,2 of 3,26 of 93,21 of 44,12 of 13,1 of 2,3 of 3,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2021-02-06,"Las Vegas, Nevada, USA",Featherweight Bout,SeungWoo Choi,41,109,23,47,37.0,48.0,73,144,46,70,2,3,3,9,66.0,33.0,25,84,12,34,10,13,9,10,6,12,2,3,26,93,21,44,12,13,1,2,3,3,1,1,300
Molly McCann,Lara Procopio,0,0,37 of 47,36 of 58,78%,62%,71 of 83,85 of 113,0 of 0,7 of 9,,77%,1,1,0,0,0:50,11:43,17 of 25,20 of 39,13 of 14,11 of 12,7 of 8,5 of 7,21 of 28,19 of 39,11 of 12,9 of 11,5 of 7,8 of 8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,2021-02-06,"Las Vegas, Nevada, USA",Women's Flyweight Bout,Lara Procopio,37,47,36,58,78.0,62.0,71,83,85,113,0,0,7,9,,77.0,17,25,20,39,13,14,11,12,7,8,5,7,21,28,19,39,11,12,9,11,5,7,8,8,300
Timur Valiev,Martin Day,0,0,55 of 76,8 of 28,72%,28%,115 of 149,24 of 46,4 of 6,0 of 0,66%,,0,0,0,1,11:19,0:15,37 of 53,7 of 23,4 of 7,0 of 2,14 of 16,1 of 3,20 of 31,6 of 23,2 of 2,0 of 1,33 of 43,2 of 4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-02-06,"Las Vegas, Nevada, USA",Featherweight Bout,Timur Valiev,55,76,8,28,72.0,28.0,115,149,24,46,4,6,0,0,66.0,,37,53,7,23,4,7,0,2,14,16,1,3,20,31,6,23,2,2,0,1,33,43,2,4,300
Dan Hooker,Michael Chandler,0,1,8 of 19,17 of 24,42%,70%,8 of 19,17 of 24,0 of 0,0 of 0,,,0,0,0,0,0:00,0:09,0 of 6,12 of 17,0 of 1,4 of 6,8 of 12,1 of 1,8 of 19,7 of 11,0 of 0,0 of 0,0 of 0,10 of 13,KO/TKO,1,2:30,3 Rnd (5-5-5),Marc Goddard,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout,Michael Chandler,8,19,17,24,42.0,70.0,8,19,17,24,0,0,0,0,,,0,6,12,17,0,1,4,6,8,12,1,1,8,19,7,11,0,0,0,0,0,0,10,13,150
